dict_lpc_test_online WL_LPC_106
dict_auto_hive2ddict_pas_metapath_2_v10 passenger_phone_5de86ae960e8f431199f53da6d8f1027
dict_auto_hive2ddict_pas_metapath_3_v10 passenger_phone_9134a2b16ac513778c1c51876e49d2cb
dict_auto_hive2ddict_pas_history_order_v10 passenger_phone_000001de38a57342035c5d86b9ecaf8f
dict_auto_hive2ddict_taxi_price TAXI_LONG_1_0_138
dict_auto_hive2ddict_whs_pas_extend_info passenger_phone_ec4cc236794c7f4c34ab38f23e1750c2
dict_auto_hive2ddict_sfc_ykj_driver SFC_DRIVER_2023-05-15_1_17_78_78_OL12F1i2539j1211_OL12F1i2532j1224_explore
dict_auto_hive2ddict_sfc_ykj_passenger SFC_PASSENGER_2023-05-10_1_41_41_41_OL12F1i2635j1055_OL12F1i2651j1059_treated
dict_auto_hive2ddict_tpc_statistic_feat_14d START_181_OL13F0i413j6004
dict_auto_hive2ddict_hufan_poi_features_part1 fpoi_hour_id_2098e83df579c463e903f3056ac9a0c2_17
dict_auto_hive2ddict_hufan_poi_features_part3 fpoi_c4e882f9e29d242135c06d659f2c3910
dict_auto_hive2ddict_hufan_poi_features_part2 tpoi_hour_id_7c7ce2c9e9eabf874520ab85dedeece6_16
dict_auto_hive2ddict_tpc_statistic_pcl_30d CITY_WEEKDAY_1_0
dict_auto_hive2ddict_test_peak CITY_PEAK_0_700_0_weekend
dict_auto_hive2ddict_tpc_statistic_feat14d_v1 START_85_OL13F1i5587j3299
dict_auto_hive2ddict_skyfall_passenger_feat Skyfall_Task_Feat_214946484225
dict_auto_hive2ddict_byway_aggregation_area AGGREGATION_1_110101_b4b3bf2e1aeddc0a556ba2ee4a53cea6
dict_auto_hive2ddict_all_cancel_after_rate PASSENGER_ID_4129528
dict_auto_hive2ddict_byway_hometabtype Hometab_driver_269953
dict_auto_hive2ddict_all_after_cancel_rate PASSENGER_ID_825084940292
dict_auto_hive2ddict_all_cancel_rate_after CANCEL_PASSENGER_ID_5000066606180
dict_auto_hive2ddict_package_passenger_seq seq_25760504
dict_auto_hive2ddict_sdi_heatmap_fk_ha_call grid_heatmap_call_348_OL13F0i1021j5969_2023-06-16_23:10:00
dict_auto_hive2ddict_mdp_v_net_feature v_net_2134
dict_auto_hive2ddict_mdp_v_net_grid_feature mdp_v_net_grid_OL13F1i6669j1650
dict_auto_hive2ddict_tpc_pcl_dict_2month_v1 CITY_STEP_1_1
dict_auto_hive2ddict_byway_agg_area_fixed aggregation_1_110101_8e4946a50168fa14a470b78ebdccabb7
dict_auto_hive2ddict_minibus_hotarea MiniBus_Hot_Area_OL12F1i3194j1450_OL12F1i3213j1456_1_253
dict_auto_hive2ddict_lxy_test0808 lxy1_OL13F1i5048j2502
dict_auto_hive2ddict_czc_do_driver_feas_v10 driver_id_1872
dict_auto_hive2ddict_serial_cold_zone serial_OL11F1i1918j364_532801_23_1
dict_auto_hive2ddict_serial_cold_zone_v2 coldzone_OL11F1i1285j621_130626_0_1
dict_auto_hive2ddict_passenger_behavior_3060d PASSENGER_ID_35184375185602
dict_auto_hive2ddict_all_cancel_rate_before GRID_TIME_00:00:00_OL13F1i4963j2547_1
dict_auto_hive2ddict_v10_czc_driver_level driver_id_71
dict_auto_hive2ddict_mdp_grid_stat_feature MDP_VALUE_GRID_23_1_OL13F1i5349j3188_144
dict_auto_hive2ddict_mdp_vnet_grid_location mdp_vnet_grid_OL13F1i5205j2764
dict_auto_hive2ddict_mdp_vnet_grid_stat mdp_vnet_grid_23_5_OL13F1i5316j3138_229
dict_auto_hive2ddict_smt_base_m30_driver_grid STAT_DRIVER_565864426773846
dict_auto_hive2ddict_mdp_vnet_grid_stat_feat MDP_VALUE_GRID_35_1_OL13F1i5918j3228_231
dict_auto_hive2ddict_lxy_test0901 lxy_OL13F1i5049j2534
dict_auto_hive2ddict_mdp_vnet_grid_feature mdp_vnet_grid_21_5_OL13F1i6417j2887_102
dict_auto_hive2ddict_lxy_test0915 lxy_OL13F1i5048j2496
dict_auto_hive2ddict_whs_pasid_extend_info passenger_id_17595084516386
dict_auto_hive2ddict_grid_driver_density GRID_WEEK_HOUR_DRIVER_DENSITY_OL13F0i1000j5940
dict_auto_hive2ddict_p_fea_for_package_strat pkgstrategy_17598690935513
dict_auto_hive2ddict_lxy_test1009 lxy_OL13F1i6525j2581
dict_auto_hive2ddict_ut_loss UT_LossFeat_348_OL13F0i1001j5993_13
dict_auto_hive2ddict__jfb_distance_city ID_1_0
dict_auto_hive2ddict_taxi_driver_score_test TAXI_CONTRIBUTE_66
dict_auto_hive2ddict_ut_new UT_NewFeat_2_OL13F1i6475j2863_19
dict_auto_hive2ddict_zhesemi_driver_feature dri_562950054569667
dict_auto_hive2ddict_wait_acr_ub_history wait_acr_1000017960961
dict_auto_hive2ddict_lxy_test1027 qqxing_OL13F1i5056j2495
dict_auto_hive2ddict_driver_hold_v2 WL_DRIVER_HOLD_V2_OL13F1i6620j1880_217_1.0_2.5
dict_auto_hive2ddict_pid_login_feature Pid_Login_Feat_2702
dict_auto_hive2ddict_time_date_feature Realtime_Base_Feat_2023-11-02
dict_auto_hive2ddict_doulis_offlin_dri_histo WL_DRIVER_DOUBLELISTEN_OFFLINE_DRIVER_HISTORY_FEATURE_3180010866782
dict_auto_hive2ddict_doulis_offlin_bothonline WL_DRIVER_DOUBLELISTEN_OFFLINE_BOTHONLINE_FEATURE_580542298093124
dict_auto_hive2ddict_doulis_offlin_sds_offpar WL_DRIVER_DOUBLELISTEN_OFFLINE_SDS_OFFLINE_PART_FEATURE_OL13F1i4081j3136
dict_auto_hive2ddict_driver_hold_param_v1_0 WL_grid_time_week_OL13F1i5046j2563_126_4
dict_auto_hive2ddict_driver_hold_param_v1_4 WL_grid_hour_week_OL13F1i6064j2535_12_4
dict_auto_hive2ddict_doulis_offlin_dri_histor WL_DRIVER_DOUBLELISTEN_OFFLINE_DRIVER_HISTORY_UPDATED_FEATURE_3180010866782
dict_auto_hive2ddict_b_fea B_DRIVER_OL10F1i1617j695|OL12F1i3244j1372_0_1_2_1
dict_auto_hive2ddict_silent_coupon_ot_feature Silent_Feat_OT_OL13F1i5306j2943_9
dict_auto_hive2ddict_silent_coupon_o_feature Silent_Feat_O_OL13F1i5380j3169
dict_auto_hive2ddict_keqi_yunli_remind key_3506
dict_auto_hive2ddict_sfc_ykj_c_offline_feat sfc_ykj_feat_c_OL10F0i100j716_OL10F0i110j722
dict_auto_hive2ddict_wait_acr_ub_rt_history wait_acr_19078161
dict_auto_hive2ddict_sfc_ykj_history_od_cpm sfc_ykj_hist_od_cpm_2023-11-23_7_OL10F1i700j311_OL10F1i697j327
dict_auto_hive2ddict_combECR_add_minus_cnt PASSENGER_17598426478690
dict_auto_hive2ddict_whc_driver_feas_v10 driver_id_73
dict_auto_hive2ddict_grid_bubble_poi_features GRID_BUBBLE_POI_OL13F1i5909j2601
dict_auto_hive2ddict_lxy_test0901 lxy_OL13F1i5055j2966
dict_auto_hive2ddict_lxy_test0915 lxy_OL13F1i5055j2600
dict_lux_pas_cancel_feature PASSANGER_24860605
dict_athena_pas_inactive_non_unione_core_lable_df inactive_tag_17597864924593
dict_compliance_driver_spark WL_DRIVER_564888567482069
dict_daoliu_white_list GIZZLE_PASSENGER_1210205282304
dict_driver_d0_last_res DRIVER_D0_564727847194837
dict_online_dur_last_res GIZZLE_DRIVER_562950057106698
dict_fex_guide_zc_increase_tq_features_last_res openplatform_grid_OL13F1i6468j2793_3_54
dict_auto_hive2ddict_grid13_hour_funnel OT13_OL13F1i5600j2456_22
dict_auto_hive2ddict_grid13_funnel O13_OL13F1i7206j1633
dict_auto_hive2ddict_grid13_dest_poi O13POI_OL13F1i6023j2919
dict_auto_hive2ddict_city CITY_65
dict_auto_hive2ddict_beatle_driver_profile beatles_driver_profile_6402
dict_auto_hive2ddict_cpd_geo_hour_direction DIRECTION_HOUR_GEO_KEY_117313173_7_5
dict_auto_hive2ddict_cpd_geo_hour HOUR_GEO_KEY_98362489_19_0
dict_auto_hive2ddict_cpd_geo GEO_KEY_0
dict_auto_hive2ddict_v10_wyc_driver_level timepart_driverid_midnight_563281840701440
dict_auto_hive2ddict_grid13_ord_scene O13SCENE_OL13F1i5054j2499
dict_auto_hive2ddict_sfc_ykj_rule_strategy sfc_ykj_rule_1_1_0_main_rule
dict_auto_hive2ddict_hour_period HourP_7
dict_auto_hive2ddict_dt_feature DT_2024-01-01
dict_auto_hive2ddict_grid13_feature O13_OL13F0i1032j5964
dict_auto_hive2ddict_pbd_pk_dri_fea_serial_no HS_PUBLIC_PBD_PK_MODEL_SERIAL_NO_SERIAL_1031
dict_auto_hive2ddict_coupon_scene_time_info curr_coupon_358
dict_auto_hive2ddict_wyc_pid_profile_feature PID_PROFILE_FEAT_212
dict_auto_hive2ddict_wyc_pid_order_90days PID_ORDER_90D_FEAT_34656
dict_auto_hive2ddict_wyc_pid_pkg_90days PID_BUY_PKG_90D_FEAT_798013792256
